# eta         Weight        Error
-5.0      0     0
-4.9      0     0
-4.8      0.858018627368     5.81025254424
-4.7      1.93130606338     1.49922721733
-4.6      1.68051087823     0.690211937717
-4.5      1.54469630834     0.43043324003
-4.4      1.33662758984     0.279018583333
-4.3      1.12575388798     0.185085049772
-4.2      1.04866777099     0.140733494806
-4.1      0.967953221467     0.107800519578
-4.0      0.962312639697     0.0901363406271
-3.9      0.995863976512     0.0792574943811
-3.8      0.950722473624     0.064155262323
-3.7      0.970747053384     0.0558746043146
-3.6      0.958458471185     0.0469821347686
-3.5      0.963273106126     0.0403054809637
-3.4      0.971201221817     0.0348163579656
-3.3      0.970344762515     0.0299530403335
-3.2      0.993573289037     0.0267585413721
-3.1      1.02615643321     0.0246080774887
-3.0      1.03084050726     0.0224209752199
-2.9      1.03228840858     0.020898736401
-2.8      1.03571368288     0.0201277905997
-2.7      1.04809951149     0.020255320538
-2.6      1.02983059918     0.020270717581
-2.5      1.01395060322     0.0209314467789
-2.4      1.00550253278     0.022427188356
-2.3      0.98524184668     0.0243345047916
-2.2      0.93284903676     0.0254724685401
-2.1      0.913262508315     0.0271713867248
-2.0      0.871915972524     0.02815058045
-1.9      0.869004861455     0.03048875128
-1.8      0.846282118814     0.0320636710141
-1.7      0.828351032059     0.0337419028258
-1.6      0.808121632173     0.0352144226411
-1.5      0.794208074603     0.0368611074041
-1.4      0.786849998526     0.0387162676478
-1.3      0.787304914623     0.0408991470396
-1.2      0.781471262466     0.0426548726856
-1.1      0.762389117644     0.0434780258025
-1.0      0.761436700386     0.0451957801014
-0.9      0.789486243503     0.0487260404473
-0.8      0.77740722934     0.0495521590733
-0.7      0.77646871366     0.0509138403511
-0.6      0.800487619318     0.0539195684891
-0.5      0.768559143598     0.0527589782584
-0.4      0.768284910781     0.0536459239207
-0.3      0.773515711849     0.0547542312254
-0.2      0.778354649207     0.0556446032556
-0.1      0.791069922575     0.0568992138205
0.0      0.802412858006     0.0579078376188
0.1      0.766466517031     0.0550930876766
0.2      0.772862089224     0.0552885732642
0.3      0.752773016623     0.0532931903302
0.4      0.77032471987     0.0538984967591
0.5      0.759463728684     0.0521923614895
0.6      0.771691176586     0.0519642647381
0.7      0.767126699149     0.0503932894395
0.8      0.754003219891     0.0480998388528
0.9      0.762986804289     0.0471705504059
1.0      0.749998665185     0.0446757906396
1.1      0.760534488425     0.0435459817083
1.2      0.754567547329     0.0412705589899
1.3      0.766731423086     0.0399537524433
1.4      0.763109909247     0.0376873910591
1.5      0.761918839723     0.0354593956498
1.6      0.805756450809     0.0353108441025
1.7      0.811952667299     0.0332292891081
1.8      0.834653282056     0.0317892934619
1.9      0.845662965003     0.0297951867259
2.0      0.875930059076     0.0284866513007
2.1      0.900538760135     0.0269471758192
2.2      0.930660085369     0.025615980927
2.3      0.981787416798     0.0244289638386
2.4      1.00107969521     0.0225353731058
2.5      1.00965503774     0.0210175604497
2.6      1.02556192687     0.0203112617218
2.7      1.05041672548     0.020494791041
2.8      1.04385122851     0.0204686576326
2.9      1.0610527262     0.0216981407889
3.0      1.06252066296     0.0232440743342
3.1      1.07135474355     0.0258079906023
3.2      1.07591316581     0.0292186377906
3.3      1.06678842278     0.0331706044195
3.4      1.04423220872     0.0375041834981
3.5      1.0603931428     0.0444642334975
3.6      1.06366444026     0.0521481006296
3.7      1.1072016903     0.0637768849121
3.8      1.10945745191     0.0749464529859
3.9      1.14202552799     0.0907439840942
4.0      1.17495247075     0.1100318996
4.1      1.30048883531     0.144810133381
4.2      1.47772007322     0.197644278525
4.3      1.8338412426     0.301104429862
4.4      2.1941174973     0.455049636237
4.5      2.79814893904     0.771771732217
4.6      4.45926095363     1.81661029311
4.7      7.91893871907     6.06422452845
4.8      11.2849225062     75.8489350284
4.9      0     0
