# eta         Weight        Error
-5.0      0     0
-4.9      0     0
-4.8      2.46513201517     10.3483137823
-4.7      2.22099390907     1.75693953472
-4.6      1.71089106824     0.756983815826
-4.5      1.54880588241     0.478768609124
-4.4      1.39123719889     0.329387548073
-4.3      1.1111088926     0.209531926346
-4.2      1.05785422375     0.16408076815
-4.1      0.999840397712     0.129286939397
-4.0      0.965373964847     0.104814602159
-3.9      0.98479203169     0.0902249134217
-3.8      0.977324592711     0.0754465956247
-3.7      0.981886324122     0.0637227220468
-3.6      0.991943772043     0.0539522523679
-3.5      1.00393853415     0.0456002805308
-3.4      1.00280894124     0.0379292555354
-3.3      1.0008388017     0.0314774368004
-3.2      1.03452613035     0.0273775001764
-3.1      1.0516463292     0.0237911768613
-3.0      1.04196410016     0.0205941139124
-2.9      1.04311243119     0.0187367909085
-2.8      1.05661432572     0.0182061782611
-2.7      1.03931308041     0.0179700959404
-2.6      1.0327508144     0.0189461610394
-2.5      1.01326590434     0.0205788486366
-2.4      0.990531105179     0.0230767775918
-2.3      0.952046542626     0.0255427259295
-2.2      0.910917498099     0.0268898660459
-2.1      0.905101352302     0.0295349837252
-2.0      0.873824182318     0.0313123295471
-1.9      0.853300321164     0.0334445854249
-1.8      0.830105109843     0.0353684092135
-1.7      0.823285389962     0.0379857991877
-1.6      0.800110630635     0.0397183539005
-1.5      0.785674862263     0.0417533494736
-1.4      0.782761838267     0.0443550435619
-1.3      0.77361607822     0.0464869530208
-1.2      0.760319965217     0.0482036244876
-1.1      0.762106487872     0.0507695004159
-1.0      0.770089463136     0.0537078397587
-0.9      0.752909925091     0.0546732035766
-0.8      0.752373667603     0.0566791891735
-0.7      0.763363013544     0.0594229047119
-0.6      0.77435865338     0.0620355348327
-0.5      0.75811597342     0.0621855142386
-0.4      0.734654085552     0.0613954552602
-0.3      0.741996171996     0.0629782673579
-0.2      0.757800709364     0.0650881349879
-0.1      0.761423037805     0.0658856972339
0.0      0.740988568451     0.0642300819865
0.1      0.744204481719     0.0644202366127
0.2      0.726157662764     0.0624278973936
0.3      0.75013343375     0.063915101771
0.4      0.736415884891     0.0618170011177
0.5      0.741793457333     0.0611040004952
0.6      0.758141264928     0.0610985110657
0.7      0.723774623966     0.0566664717517
0.8      0.736238907481     0.0558841995796
0.9      0.730603831299     0.0535142450594
1.0      0.725215133009     0.0510235073593
1.1      0.732848370789     0.0493273276182
1.2      0.740169394137     0.0474614953758
1.3      0.730612354847     0.0443654014035
1.4      0.755068090981     0.0432974457441
1.5      0.773519683487     0.0416980251181
1.6      0.763221300092     0.0383922438774
1.7      0.799445613258     0.0374563672578
1.8      0.787871609502     0.0340446850474
1.9      0.83367528119     0.0332006278613
2.0      0.850096627794     0.0309724918801
2.1      0.863762522287     0.0286145528068
2.2      0.911975162607     0.02750222357
2.3      0.924758468004     0.0252202200745
2.4      0.970147693913     0.0230318139993
2.5      0.996569432354     0.0206761721079
2.6      1.01700107437     0.0190832312045
2.7      1.03765592563     0.0184250583755
2.8      1.0553052511     0.0186093689254
2.9      1.06341890576     0.0195764496576
3.0      1.06952673017     0.0215561184211
3.1      1.05835329734     0.0242057997551
3.2      1.06833675222     0.0286252169187
3.3      1.06239824713     0.0338015797621
3.4      1.07129534922     0.0408474454235
3.5      1.08615376142     0.049644630239
3.6      1.11451985949     0.0609952669974
3.7      1.14424455418     0.0747691655477
3.8      1.12601523793     0.0873721115739
3.9      1.15213822347     0.106010015096
4.0      1.22313921313     0.133606149497
4.1      1.27329777113     0.165193992105
4.2      1.55734279447     0.242957555561
4.3      1.73156689891     0.328277552526
4.4      2.25610943973     0.535374189257
4.5      2.96687181494     0.922544605481
4.6      4.46912644413     2.00143344213
4.7      6.4566521492     5.17570938368
4.8      17.0659391894     85.1472119528
4.9      0     0
