# eta         Weight        Error
-5.0      0     0
-4.9      0     0
-4.8      1.66242420562     6.19468968907
-4.7      1.88871777516     1.58473359046
-4.6      1.64664513793     0.802126940805
-4.5      1.22815526497     0.409967024442
-4.4      1.03545274586     0.264480088315
-4.3      0.980370961504     0.200630541218
-4.2      0.935893803653     0.157730798433
-4.1      0.888591053383     0.125059244525
-4.0      0.901610689336     0.107298755885
-3.9      0.904926050399     0.0912586460577
-3.8      0.924138141605     0.0791292463842
-3.7      0.940535415373     0.0682284802271
-3.6      0.943143893924     0.0576900440455
-3.5      0.968042627606     0.0499641185065
-3.4      0.976205153614     0.0423683151992
-3.3      1.01225467025     0.037171738388
-3.2      1.00482998826     0.0311771897912
-3.1      1.01136490261     0.0268876592227
-3.0      1.03494677419     0.023980897104
-2.9      1.05226457197     0.0225279900884
-2.8      1.02516902197     0.0205336420593
-2.7      1.04974484437     0.0211696759689
-2.6      1.0366353076     0.0221238716587
-2.5      1.01049766444     0.0233015284279
-2.4      0.993173939975     0.0259043435566
-2.3      0.960337162795     0.0279387709219
-2.2      0.920731142163     0.0291682006172
-2.1      0.882013467839     0.0304022509474
-2.0      0.888546609598     0.0334449462266
-1.9      0.876622774921     0.035648158135
-1.8      0.852413835292     0.0375361418852
-1.7      0.841148841029     0.03986541409
-1.6      0.808025593591     0.0407567318607
-1.5      0.793959603155     0.0424568268021
-1.4      0.828754810893     0.0470447488602
-1.3      0.812925119846     0.0486161626351
-1.2      0.821704154907     0.0516186519029
-1.1      0.802158787017     0.0526271296159
-1.0      0.808273730544     0.0552728243912
-0.9      0.810920054359     0.0574545373794
-0.8      0.789419166098     0.0577310237204
-0.7      0.812273105868     0.0613244420679
-0.6      0.82527787733     0.0637999091421
-0.5      0.821012414766     0.064786122981
-0.4      0.793735719121     0.0637169272823
-0.3      0.796247300936     0.0647625216014
-0.2      0.829036386547     0.0680656638418
-0.1      0.83606549448     0.0690933008815
0.0      0.81834230274     0.0676995828284
0.1      0.813391603695     0.0673413036196
0.2      0.789667283384     0.0648900824273
0.3      0.770075856549     0.0625092179278
0.4      0.797751563628     0.0640603900269
0.5      0.807689910551     0.063751233657
0.6      0.808331288338     0.0624450238443
0.7      0.810902249675     0.0612256239397
0.8      0.780544671865     0.057318190215
0.9      0.778406021996     0.0552445329321
1.0      0.790600789275     0.0541328537512
1.1      0.794351957804     0.0522059101789
1.2      0.811396428089     0.0511390397871
1.3      0.769265853001     0.0460726704039
1.4      0.796037319706     0.0453468395507
1.5      0.801606922947     0.0431713823083
1.6      0.809925525563     0.0409266615007
1.7      0.840069584481     0.039822942414
1.8      0.827969887204     0.0364496212856
1.9      0.876173126358     0.0361051316827
2.0      0.866568801276     0.0326830888423
2.1      0.888162737057     0.0308703797217
2.2      0.908166502729     0.0289185952927
2.3      0.947268844523     0.0275769747089
2.4      0.983158772488     0.0257620880421
2.5      1.01205328978     0.0236962330013
2.6      1.02065332463     0.0215235329568
2.7      1.06735154874     0.0218609176237
2.8      1.0618119505     0.0217488352707
2.9      1.05762907538     0.0225242793624
3.0      1.07917993684     0.0255800405786
3.1      1.04822580258     0.0278134936188
3.2      1.05718103358     0.0328318965202
3.3      1.05093343087     0.0383921862037
3.4      1.05154191433     0.0456187727759
3.5      1.08371909882     0.0561172006611
3.6      1.05224159606     0.0644295214249
3.7      1.06132159731     0.0769344534521
3.8      1.05018026242     0.0897532398128
3.9      1.09737155751     0.110646406111
4.0      1.13424775455     0.134944136356
4.1      1.19494845374     0.168335615523
4.2      1.23235681062     0.207123369151
4.3      1.46652480913     0.303151623183
4.4      1.7660401957     0.446878490796
4.5      2.83294225723     0.968506736438
4.6      3.34266424862     1.57754556312
4.7      5.69958145144     4.77104779199
4.8      3.08692358555     11.4401628431
4.9      0     0
