# eta         Weight        Error
-5.0      0     0
-4.9      0     0
-4.8      8.06395449566     15.6949412849
-4.7      3.28187616565     2.46576527185
-4.6      2.07600421369     0.980655615145
-4.5      1.66116842116     0.578247309471
-4.4      1.46965068718     0.407644235642
-4.3      1.06734155345     0.239691285957
-4.2      1.03196896865     0.194760719889
-4.1      0.96696638415     0.154773608906
-4.0      0.953357121172     0.130370895509
-3.9      1.02412324865     0.120842700923
-3.8      0.953405897969     0.0963460920091
-3.7      1.00004754117     0.0871567064869
-3.6      1.00290279173     0.0752542487478
-3.5      1.03160032844     0.0669575104351
-3.4      1.00217847437     0.0562095158802
-3.3      1.02064809687     0.0500135480196
-3.2      1.04387721023     0.0453282819833
-3.1      1.06725642788     0.0419163899456
-3.0      1.04646427491     0.0377644840883
-2.9      1.05796522691     0.0362002640241
-2.8      1.06311524876     0.0355236657628
-2.7      1.03849510343     0.0347281729981
-2.6      1.03146695619     0.0356744668746
-2.5      1.01395899396     0.0373050098629
-2.4      0.987620501952     0.0396248915466
-2.3      0.956264637285     0.0427678046592
-2.2      0.899331982546     0.0447040900892
-2.1      0.867653164917     0.0467578611763
-2.0      0.823572597231     0.0484280224478
-1.9      0.781949554599     0.0503356121552
-1.8      0.749657805711     0.0528254501381
-1.7      0.733489936856     0.0565161375475
-1.6      0.70023539908     0.058735771697
-1.5      0.68451448358     0.0623106215264
-1.4      0.664939464175     0.0653862265479
-1.3      0.657498856743     0.0695660674436
-1.2      0.624033549153     0.0706252934612
-1.1      0.605204647624     0.0729098991113
-1.0      0.613200607135     0.0783528274561
-0.9      0.59839815305     0.0806433144108
-0.8      0.590493410259     0.0835055636247
-0.7      0.589383864403     0.0870243934632
-0.6      0.585066970323     0.0897071529992
-0.5      0.57352253768     0.0908139306263
-0.4      0.539100634724     0.0875405329122
-0.3      0.556978853689     0.0923816087809
-0.2      0.561779439617     0.0945670433099
-0.1      0.577468225474     0.0981542436566
0.0      0.547469310639     0.0932420853206
0.1      0.548093366546     0.0930637038749
0.2      0.532035521262     0.0894512569283
0.3      0.555939310312     0.092146670372
0.4      0.546970990479     0.0887542965788
0.5      0.55622437372     0.087874433736
0.6      0.574601733252     0.0879383912089
0.7      0.561818351991     0.0827306301934
0.8      0.57229143159     0.0807037170005
0.9      0.592484902279     0.0796510624113
1.0      0.586858919164     0.0747495339894
1.1      0.603695142996     0.0725283187848
1.2      0.623274451966     0.0703099460875
1.3      0.620125715317     0.0652667053996
1.4      0.657613164936     0.064383431888
1.5      0.691231067866     0.0626932544113
1.6      0.686429736531     0.0572591353303
1.7      0.746222057428     0.0572672312489
1.8      0.731837750002     0.0512074788323
1.9      0.779803043044     0.0498133359866
2.0      0.833469578042     0.0486545132517
2.1      0.849202127846     0.0452734482127
2.2      0.910482828993     0.0448779454945
2.3      0.947478653052     0.0418332277174
2.4      0.979765277803     0.038660120514
2.5      1.03032113985     0.0372977491834
2.6      1.03139689522     0.0349091020434
2.7      1.07342137426     0.0352279035101
2.8      1.09090379157     0.035640642406
2.9      1.09527434614     0.036672731662
3.0      1.11820961234     0.0396755192594
3.1      1.10732462228     0.0426456893449
3.2      1.11433118687     0.0477120711665
3.3      1.11381534921     0.0540079136802
3.4      1.11745949613     0.0621510930441
3.5      1.12608813846     0.0723338036545
3.6      1.13763411686     0.0847425371904
3.7      1.17866771182     0.102174685923
3.8      1.17561055801     0.118474257468
3.9      1.15813303484     0.135290773372
4.0      1.32019617235     0.180452502967
4.1      1.31771848596     0.209658995077
4.2      1.56964502374     0.294548421126
4.3      1.79583579647     0.401251956107
4.4      2.16395832662     0.586879371013
4.5      3.00039850833     1.02754909971
4.6      4.20217307011     1.90982795718
4.7      15.2980320029     10.586267907
4.8      0     0
4.9      0     0
